Nodes,Packets Sent,Packets Received,Packet Loss,Packet Delivery Ratio,Avg Delay,Throughput,Avg Jitter
45,5087894,3203581,1884313,62.9648,6.38836e-05,1.3122e+08,2.80932e-05
18,1223447,647769,575678,52.9462,5.9033e-05,2.65333e+07,0.000138934
39,5132637,3131821,2000816,61.0178,4.36085e-05,1.2828e+08,2.87372e-05
59,5593838,3808303,1785535,68.0803,0.000114974,1.5599e+08,2.36323e-05
35,7098560,3865740,3232820,54.4581,1.93978e-05,1.58341e+08,2.32814e-05
48,7609399,4609281,3000118,60.5735,5.80378e-05,1.88797e+08,1.95257e-05
52,3043533,2213780,829753,72.7372,0.000161676,9.0677e+07,4.06542e-05
33,1993348,1205627,787721,60.4825,8.84839e-05,4.93838e+07,7.46478e-05
17,1081431,583490,497941,53.9554,6.78158e-05,2.39003e+07,0.000154241
23,510831,319031,191800,62.4533,0.00029706,1.30675e+07,0.000282104
20,2161483,1164663,996820,53.8826,3.11194e-05,4.77051e+07,7.72747e-05
23,3315779,1771557,1544222,53.4281,2.33394e-05,7.25632e+07,5.08026e-05
59,3223659,2543440,680219,78.8992,0.000175514,1.04182e+08,3.53842e-05
52,2873916,2371230,502686,82.5087,0.000193689,9.71256e+07,3.7955e-05
50,5666358,3739322,1927036,65.9916,8.10739e-05,1.53165e+08,2.40682e-05
16,1432538,760203,672335,53.0669,4.39842e-05,3.11381e+07,0.000118389
33,4018205,2225020,1793185,55.3735,3.1356e-05,9.1138e+07,4.04485e-05
29,624211,472650,151561,75.7196,0.000315613,1.93598e+07,0.000190416
59,6637824,4556343,2081481,68.6421,0.000111717,1.86629e+08,1.97525e-05
18,3077191,1647156,1430035,53.5279,1.80493e-05,6.74679e+07,5.46393e-05
27,2195315,1258534,936781,57.3282,5.96379e-05,5.15499e+07,7.15113e-05
37,2864379,1799284,1065095,62.8158,8.34142e-05,7.36988e+07,5.00197e-05
20,3798055,2052505,1745550,54.0409,1.73695e-05,8.40713e+07,4.38485e-05
